Airlines,Date_of_Journey,Source,Destination,Dep_times,Arrival_time,Duration,Stops,Price
Vistara,10/11/2021,New Delhi,Mumbai,20:35,14:30,17h 55m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,17:40,14:30,20h 50m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,20:35,23:00,26h 25m,1 Stop,9840
Air India,10/11/2021,New Delhi,Mumbai,21:10,09:40,12h 30m,1 Stop,9889
Vistara,10/11/2021,New Delhi,Mumbai,10:55,16:00,5h 05m,1 Stop,9893
Vistara,10/11/2021,New Delhi,Mumbai,14:45,23:00,8h 15m,1 Stop,9945
Vistara,10/11/2021,New Delhi,Mumbai,14:45,10:00,19h 15m,1 Stop,9945
Vistara,10/11/2021,New Delhi,Mumbai,14:45,14:30,23h 45m,1 Stop,9945
Air India,10/11/2021,New Delhi,Mumbai,11:00,17:25,6h 25m,1 Stop,9958
Air India,10/11/2021,New Delhi,Mumbai,7:05,13:25,6h 20m,1 Stop,9975
IndiGo,10/11/2021,New Delhi,Mumbai,21:50,08:15,10h 25m,1 Stop,10103
IndiGo,10/11/2021,New Delhi,Mumbai,6:40,16:40,10h 00m,1 Stop,10349
Go First,10/11/2021,New Delhi,Mumbai,9:10,16:15,7h 05m,1 Stop,10549
Vistara,10/11/2021,New Delhi,Mumbai,17:10,21:35,4h 25m,1 Stop,10575
Vistara,10/11/2021,New Delhi,Mumbai,13:40,21:35,7h 55m,1 Stop,10628
Air India,10/11/2021,New Delhi,Mumbai,16:45,16:25,23h 40m,2 Stop(s),10721
Air India,10/11/2021,New Delhi,Mumbai,22:00,08:45,10h 45m,1 Stop,10890
Air India,10/11/2021,New Delhi,Mumbai,22:00,00:10,26h 10m,1 Stop,10890
Air India,10/11/2021,New Delhi,Mumbai,18:30,13:25,18h 55m,1 Stop,11569
Air India,10/11/2021,New Delhi,Mumbai,12:50,07:55,19h 05m,1 Stop,12379
Air India,10/11/2021,New Delhi,Mumbai,18:40,17:25,22h 45m,1 Stop,13331
Go First,10/11/2021,New Delhi,Mumbai,11:30,17:00,5h 30m,1 Stop,13463
Air India,10/11/2021,New Delhi,Mumbai,13:20,17:50,4h 30m,1 Stop,13515
Air India,10/11/2021,New Delhi,Mumbai,4:55,13:45,8h 50m,1 Stop,15290
Vistara,10/11/2021,New Delhi,Mumbai,11:10,23:10,12h 00m,1 Stop,15615
IndiGo,10/11/2021,New Delhi,Mumbai,7:20,14:50,7h 30m,1 Stop,15720
Go First,10/11/2021,New Delhi,Mumbai,10:45,19:40,8h 55m,1 Stop,17505
Go First,10/11/2021,New Delhi,Mumbai,10:45,18:20,7h 35m,1 Stop,17715
Air India,10/11/2021,New Delhi,Mumbai,10:55,16:35,5h 40m,1 Stop,17925
Air India,10/11/2021,New Delhi,Mumbai,10:55,22:25,11h 30m,1 Stop,17925
SpiceJet,10/11/2021,New Delhi,Mumbai,7:20,9:35,2h 15m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,6:20,8:40,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,19:45,22:05,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,18:55,21:05,2h 10m,Non Stop,3177
Air India,10/11/2021,New Delhi,Mumbai,7:00,9:05,2h 05m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,8:00,10:10,2h 10m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,8:10,10:20,2h 10m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,17:50,20:00,2h 10m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,9:00,11:15,2h 15m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,20:00,22:15,2h 15m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,8:45,11:05,2h 20m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,17:50,21:35,3h 45m,1 Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,10:40,12:50,2h 10m,Non Stop,5416
Air Asia,10/11/2021,New Delhi,Mumbai,20:00,02:25,6h 25m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,5:20,14:10,8h 50m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,21:25,06:45,9h 20m,1 Stop,5953
